Frequency [MHz],|S0-2| [-],|S1-2| [-],|S2-2| [-],|S3-2| [-],Arg(S0-2) [rad],Arg(S1-2) [rad],Arg(S2-2) [rad],Arg(S3-2) [rad],Delay 2>0 [s],Delay 2>1 [s],Delay 2>2 [s],Delay 2>3 [s],|Z2| [Ohm],Arg(Z2) [rad]
2.411600e+03, 7.641989e-02, 5.253888e-02, 9.550875e-02, 8.592974e-01, 7.729666e-01, -1.701331e+00, -2.460513e+00, -6.796839e-01, 6.396876e-10, 5.650808e-10, 9.407236e-10, 4.635633e-10, 4.311583e+01, -1.207871e-01
2.415400e+03, 7.692293e-02, 5.274673e-02, 9.429920e-02, 8.593555e-01, 7.576933e-01, -1.714823e+00, -2.482974e+00, -6.907520e-01, 6.387453e-10, 5.663775e-10, 9.539505e-10, 4.636305e-10, 4.308158e+01, -1.159403e-01
2.419200e+03, 7.741843e-02, 5.295273e-02, 9.309065e-02, 8.594121e-01, 7.424426e-01, -1.728346e+00, -2.505750e+00, -7.018217e-01, 6.378909e-10, 5.676302e-10, 9.677442e-10, 4.636881e-10, 4.305194e+01, -1.110723e-01
2.423000e+03, 7.790645e-02, 5.315691e-02, 9.188374e-02, 8.594674e-01, 7.272122e-01, -1.741898e+00, -2.528856e+00, -7.128927e-01, 6.370588e-10, 5.688545e-10, 9.819835e-10, 4.638045e-10, 4.302693e+01, -1.061852e-01
2.426800e+03, 7.838672e-02, 5.335911e-02, 9.067919e-02, 8.595215e-01, 7.120017e-01, -1.755480e+00, -2.552302e+00, -7.239666e-01, 6.362797e-10, 5.699843e-10, 9.967817e-10, 4.638748e-10, 4.300658e+01, -1.012817e-01
2.430600e+03, 7.885933e-02, 5.355944e-02, 8.947770e-02, 8.595738e-01, 6.968098e-01, -1.769089e+00, -2.576101e+00, -7.350421e-01, 6.356006e-10, 5.711840e-10, 1.012115e-09, 4.638670e-10, 4.299090e+01, -9.636432e-02
2.434400e+03, 7.932415e-02, 5.375764e-02, 8.828003e-02, 8.596246e-01, 6.816342e-01, -1.782727e+00, -2.600267e+00, -7.461174e-01, 6.348780e-10, 5.722587e-10, 1.027996e-09, 4.640562e-10, 4.297991e+01, -9.143551e-02
2.438200e+03, 7.978101e-02, 5.395392e-02, 8.708694e-02, 8.596738e-01, 6.664758e-01, -1.796390e+00, -2.624811e+00, -7.571973e-01, 6.342983e-10, 5.733159e-10, 1.044461e-09, 4.640631e-10, 4.297362e+01, -8.649788e-02
2.442000e+03, 8.022986e-02, 5.414807e-02, 8.589929e-02, 8.597211e-01, 6.513312e-01, -1.810079e+00, -2.649749e+00, -7.682773e-01, 6.337065e-10, 5.743284e-10, 1.061589e-09, 4.641306e-10, 4.297206e+01, -8.155401e-02
2.445800e+03, 8.067071e-02, 5.434011e-02, 8.471798e-02, 8.597677e-01, 6.362007e-01, -1.823792e+00, -2.675096e+00, -7.793590e-01, 6.331583e-10, 5.753002e-10, 1.079235e-09, 4.642221e-10, 4.297521e+01, -7.660628e-02
